step,episodeID,latent_wheel_slip,latent_speed,latent_desired_speed,latent_speed_error,weight_speed_slip,latent_accel_raw,latent_brake_raw
0,0,0.0,0.0,0.6777236461639404,0.6777236461639404,0.1729093790054321,0.3922056555747986,0.0
1,0,0.0182499997317791,0.0219120439141988,0.6808001399040222,0.6588881015777588,0.1729093790054321,0.3813053369522095,0.0
2,0,0.0348572023212909,0.0339810587465763,0.6837350130081177,0.6497539281845093,0.1729093790054321,0.3760192990303039,0.0
3,0,0.0530532039701938,0.0435704924166202,0.6869181990623474,0.6433476805686951,0.1729093790054321,0.3723119497299194,0.0
4,0,0.0701023638248443,0.0525338649749755,0.689971923828125,0.6374380588531494,0.1729093790054321,0.3688919842243194,0.0
5,0,0.0834442004561424,0.0613350719213485,0.6925121545791626,0.6311770677566528,0.1729093790054321,0.3652686774730682,0.0
6,0,0.0948099642992019,0.0700816661119461,0.6949506998062134,0.6248690485954285,0.1729093790054321,0.361618161201477,0.0
7,0,0.104869544506073,0.0787739381194114,0.6975153684616089,0.6187414526939392,0.1729093790054321,0.3580720722675323,0.0
8,0,0.1139609143137931,0.087338201701641,0.7001239657402039,0.6127857565879822,0.1729093790054321,0.3546254336833954,0.0
9,0,0.1222997233271598,0.0956756472587585,0.7028218507766724,0.6071462035179138,0.1729093790054321,0.3513617813587188,0.0
10,0,0.1300238072872162,0.1037031188607215,0.7055897116661072,0.6018865704536438,0.1729093790054321,0.3483179807662964,0.0
11,0,0.1372261047363281,0.1113352105021476,0.7084322571754456,0.5970970392227173,0.1729093790054321,0.3455462157726288,0.0
12,0,0.1439723074436187,0.1184837594628334,0.7113450765609741,0.5928612947463989,0.1729093790054321,0.3430949449539184,0.0
13,0,0.1503085494041443,0.1250607818365097,0.7143484354019165,0.5892876386642456,0.1729093790054321,0.3410268425941467,0.0
14,0,0.1565481722354889,0.1320450156927108,0.7149735689163208,0.5829285383224487,0.1729093790054321,0.3373467624187469,0.0
15,0,0.1623240560293197,0.1394047737121582,0.7164937257766724,0.5770889520645142,0.1729093790054321,0.3339673280715942,0.0
16,0,0.1678741574287414,0.1467148810625076,0.7179100513458252,0.5711951851844788,0.1729093790054321,0.3305565416812897,0.0
17,0,0.1731936037540435,0.1540189236402511,0.7083423137664795,0.5543233752250671,0.1729093790054321,0.3207926452159881,0.0
18,0,0.1781497001647949,0.1612987667322158,0.7079026103019714,0.5466038584709167,0.1729093790054321,0.316325306892395,0.0
19,0,0.1829045414924621,0.1685517579317093,0.7074418663978577,0.5388901233673096,0.1729093790054321,0.3118612766265869,0.0
20,0,0.18747478723526,0.1757749170064926,0.7069931030273438,0.5312181711196899,0.1729093790054321,0.3074214458465576,0.0
