step,episodeID,latent_wheel_slip_pos_norm,latent_speed,latent_desired_speed,latent_speed_error,weight_speed_slip,latent_accel_raw,latent_brake_raw
0,0,0.0,0.0,0.7306665778160095,0.7306665778160095,-0.0039033063221722,0.6741159558296204,0.0
1,0,0.0,0.0219120439141988,0.7304471135139465,0.7085350751876831,-0.0039033063221722,0.6536973714828491,0.0
2,0,0.0008738235919736,0.0339810624718666,0.7305476665496826,0.6965665817260742,-0.0039033063221722,0.6426551938056946,0.0
3,0,0.0092113567516207,0.0435707755386829,0.7305261492729187,0.6869553923606873,-0.0039033063221722,0.6337878704071045,0.0
4,0,0.0179775860160589,0.0525357984006404,0.7304809093475342,0.6779451370239258,-0.0039033063221722,0.6254749298095703,0.0
5,0,0.0264747366309165,0.0613434500992298,0.7304423451423645,0.6690989136695862,-0.0039033063221722,0.6173133850097656,0.0
6,0,0.0345651656389236,0.0701114758849144,0.730414628982544,0.6603031754493713,-0.0039033063221722,0.6091983914375305,0.0
7,0,0.0401345789432525,0.0788695141673088,0.7304057478904724,0.651536226272583,-0.0039033063221722,0.6011099815368652,0.0
8,0,0.0439033396542072,0.0876250267028808,0.7304112911224365,0.6427862644195557,-0.0039033063221722,0.5930372476577759,0.0
9,0,0.0464880615472793,0.0963799208402633,0.7304293513298035,0.6340494155883789,-0.0039033063221722,0.5849765539169312,0.0
10,0,0.048219446092844,0.1051346510648727,0.7304577231407166,0.6253230571746826,-0.0039033063221722,0.5769256353378296,0.0
11,0,0.0492966659367084,0.1138893514871597,0.7304968237876892,0.6166074872016907,-0.0039033063221722,0.5688846111297607,0.0
12,0,0.049848984926939,0.1226440295577049,0.7305449843406677,0.6079009771347046,-0.0039033063221722,0.5608519315719604,0.0
13,0,0.049964752048254,0.1313987225294113,0.7306025624275208,0.5992038249969482,-0.0039033063221722,0.5528278946876526,0.0
14,0,0.0497066304087638,0.1401533931493759,0.7306684255599976,0.5905150175094604,-0.0039033063221722,0.5448115468025208,0.0
15,0,0.0491202436387538,0.1489080786705017,0.7307423949241638,0.5818343162536621,-0.0039033063221722,0.5368027091026306,0.0
16,0,0.0482394136488437,0.1576627492904663,0.730552613735199,0.5728898644447327,-0.0039033063221722,0.5285505056381226,0.0
17,0,0.0470860674977302,0.1664174795150756,0.7306553721427917,0.5642378926277161,-0.0039033063221722,0.5205681920051575,0.0
18,0,0.045683104544878,0.1751721352338791,0.7307649254798889,0.5555927753448486,-0.0039033063221722,0.5125921368598938,0.0
19,0,0.0440446250140666,0.1839268505573272,0.7308827638626099,0.546955943107605,-0.0039033063221722,0.5046237707138062,0.0
20,0,0.0421811044216156,0.1926815211772918,0.7310073971748352,0.5383259057998657,-0.0039033063221722,0.4966616928577423,0.0
21,0,0.0400999262928962,0.2014362215995788,0.7311378717422485,0.5297016501426697,-0.0039033063221722,0.4887049198150635,0.0
22,0,0.0378060303628444,0.2101909220218658,0.7312731742858887,0.5210822820663452,-0.0039033063221722,0.4807526469230652,0.0
23,0,0.0353021174669265,0.2189456075429916,0.7314116358757019,0.5124660134315491,-0.0039033063221722,0.4728032350540161,0.0
24,0,0.032589167356491,0.2277002930641174,0.7315526008605957,0.5038523077964783,-0.0039033063221722,0.464856207370758,0.0
25,0,0.0296662896871566,0.236455038189888,0.7315851449966431,0.4951301217079162,-0.0039033063221722,0.4568090736865997,0.0
26,0,0.0265299528837203,0.245209738612175,0.7317445278167725,0.4865347743034363,-0.0039033063221722,0.4488789737224579,0.0
27,0,0.023178081959486,0.2539644539356231,0.731900691986084,0.4779362380504608,-0.0039033063221722,0.4409459233283996,0.0
28,0,0.0196055751293897,0.2627191841602325,0.7320542931556702,0.4693351089954376,-0.0039033063221722,0.4330104887485504,0.0
29,0,0.0158061105757951,0.2714738845825195,0.7322039604187012,0.4607300758361816,-0.0039033063221722,0.4250714480876922,0.0
30,0,0.0117719592526555,0.2802285850048065,0.7323468327522278,0.4521182477474212,-0.0039033063221722,0.4171261489391327,0.0
31,0,0.0074939080514013,0.2889833152294159,0.7324817180633545,0.4434984028339386,-0.0039033063221722,0.4091734290122986,0.0
32,0,0.0029615415260195,0.2977380156517029,0.7325441837310791,0.4348061680793762,-0.0039033063221722,0.401153951883316,0.0
33,0,0.0,0.3064927458763122,0.7325316667556763,0.426038920879364,-0.0039033063221722,0.3930652439594269,0.0
34,0,0.0,0.3152474761009216,0.7325167059898376,0.417269229888916,-0.0039033063221722,0.3849743008613586,0.0
35,0,0.0,0.3240021765232086,0.7325112223625183,0.4085090458393097,-0.0039033063221722,0.3768921196460724,0.0
36,0,0.0,0.332756906747818,0.7325137257575989,0.3997568190097809,-0.0039033063221722,0.3688172698020935,0.0
37,0,0.0,0.3415116369724273,0.7325592041015625,0.3910475671291351,-0.0039033063221722,0.3607820868492126,0.0
38,0,0.0,0.3502148687839508,0.7325841784477234,0.3823693096637726,-0.0039033063221722,0.3527754843235016,0.0
